RecordID_Int,ParcelNumber,SaleDate,SaleAmount,StreetName,StreetNumber,Unit
1,010001000,2000/10/23 00:00:00+00,0,EMMET ST N,1117,
2,010001000,2016/02/10 00:00:00+00,0,EMMET ST N,1117,
3,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
4,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
5,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
6,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
7,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
8,010001100,2008/09/23 00:00:00+00,0,MILLMONT ST,1035-67,
9,010001100,1995/01/13 00:00:00+00,18381,MILLMONT ST,1035-67,
10,010001100,1995/01/13 00:00:00+00,700000,MILLMONT ST,1035-67,
11,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
12,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
13,010001100,2008/09/23 00:00:00+00,113437,MILLMONT ST,1035-67,
14,010001100,2008/09/23 00:00:00+00,484687,MILLMONT ST,1035-67,
15,010001200,1988/12/30 00:00:00+00,0,MILLMONT ST,1159,
16,010001200,1989/03/15 00:00:00+00,0,MILLMONT ST,1159,
17,010001300,1989/03/15 00:00:00+00,0,MILLMONT ST,1135-37,
18,010001300,1988/12/30 00:00:00+00,0,MILLMONT ST,1135-37,
19,010001400,1997/04/29 00:00:00+00,8389526,MILLMONT ST,1111,
20,010001400,1996/03/18 00:00:00+00,827000,MILLMONT ST,1111,
21,010001500,1988/12/30 00:00:00+00,0,MILLMONT ST,1149,
22,010001500,1989/03/15 00:00:00+00,0,MILLMONT ST,1149,
23,010001600,1900/01/01 00:00:00+00,0,MASSIE RD,600,
24,010001700,1983/12/30 00:00:00+00,0,MILLMONT ST,1101,
25,010001700,1988/08/31 00:00:00+00,1300000,MILLMONT ST,1101,
26,010001900,2000/04/27 00:00:00+00,2990000,MILLMONT ST,1023,
27,010001900,2000/04/27 00:00:00+00,0,MILLMONT ST,1023,
28,010001900,2012/05/10 00:00:00+00,2220308,MILLMONT ST,1023,
29,010001900,1997/06/27 00:00:00+00,260000,MILLMONT ST,1023,
30,010001900,1986/12/01 00:00:00+00,1750000,MILLMONT ST,1023,
31,010004000,1996/12/27 00:00:00+00,0,EMMET ST N,1138,
32,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
33,010004000,2018/01/05 00:00:00+00,0,EMMET ST N,1138,
34,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
35,010004000,1996/09/17 00:00:00+00,0,EMMET ST N,1138,
36,010004000,2018/05/21 00:00:00+00,0,EMMET ST N,1138,
37,010004100,2010/09/27 00:00:00+00,0,EMMET ST N,1170,
38,010004100,2018/01/05 00:00:00+00,0,EMMET ST N,1170,
39,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
40,010004100,1998/01/05 00:00:00+00,400000,EMMET ST N,1170,
41,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
42,010004100,2018/05/21 00:00:00+00,0,EMMET ST N,1170,
43,010004100,2019/09/06 00:00:00+00,0,EMMET ST N,1170,
44,010004100,2016/09/23 00:00:00+00,0,EMMET ST N,1170,
45,010004100,2017/04/19 00:00:00+00,0,EMMET ST N,1170,
46,010004100,1985/09/16 00:00:00+00,200000,EMMET ST N,1170,
47,010004100,1981/03/13 00:00:00+00,130000,EMMET ST N,1170,
48,010004300,1987/06/22 00:00:00+00,220000,EMMET ST N,1134,
49,010004300,1987/06/22 00:00:00+00,220000,EMMET ST N,1134,
50,010004300,1971/06/16 00:00:00+00,32000,EMMET ST N,1134,
51,010004300,2001/04/19 00:00:00+00,375000,EMMET ST N,1134,
52,010004400,2002/04/15 00:00:00+00,350000,EMMET ST N,1136-A,1
53,010004400,1988/06/29 00:00:00+00,0,EMMET ST N,1136-A,1
54,010004400,1969/01/09 00:00:00+00,85600,EMMET ST N,1136-A,1
55,010004500,1988/07/07 00:00:00+00,200000,EMMET ST N,1136-B,2
56,010004500,1988/06/29 00:00:00+00,0,EMMET ST N,1136-B,2
57,010004500,2009/12/16 00:00:00+00,0,EMMET ST N,1136-B,2
58,010005000,1993/02/18 00:00:00+00,0,BARRACKS RD,0,
59,010005000,1993/02/18 00:00:00+00,0,BARRACKS RD,0,
60,010006000,1995/05/25 00:00:00+00,0,BARRACKS RD,2028,
61,010006000,2003/02/20 00:00:00+00,0,BARRACKS RD,2028,
62,010006000,2003/01/31 00:00:00+00,545000,BARRACKS RD,2028,
63,010007000,1982/07/27 00:00:00+00,160000,BARRACKS RD,1930,
64,010008000,1984/08/31 00:00:00+00,175000,BARRACKS RD,0,
65,010008000,2015/01/28 00:00:00+00,0,BARRACKS RD,0,
66,010009000,1984/08/31 00:00:00+00,175000,BARRACKS RD,1920,
67,010009000,2015/01/28 00:00:00+00,0,BARRACKS RD,1920,
68,010010000,1995/02/28 00:00:00+00,0,WESTVIEW RD,1851,
69,010010000,2018/10/31 00:00:00+00,575000,WESTVIEW RD,1851,
70,010011000,2018/01/10 00:00:00+00,970000,WESTVIEW RD,1855,
71,010011000,1984/05/16 00:00:00+00,205000,WESTVIEW RD,1855,
72,010012000,2003/07/09 00:00:00+00,0,WESTVIEW RD,1857,
73,010012000,1973/12/17 00:00:00+00,50000,WESTVIEW RD,1857,
74,010012000,2015/05/04 00:00:00+00,512000,WESTVIEW RD,1857,
75,010012000,2015/05/04 00:00:00+00,0,WESTVIEW RD,1857,
76,010014000,2007/02/05 00:00:00+00,0,WESTVIEW RD,1885,
77,010014000,2017/03/16 00:00:00+00,0,WESTVIEW RD,1885,
78,010014000,2007/06/26 00:00:00+00,975000,WESTVIEW RD,1885,
79,010014000,1984/07/12 00:00:00+00,0,WESTVIEW RD,1885,
80,010015000,1996/08/16 00:00:00+00,325000,WESTVIEW RD,1889,
81,010015000,2002/07/03 00:00:00+00,480000,WESTVIEW RD,1889,
82,010016000,1979/08/22 00:00:00+00,91000,WESTVIEW RD,1891,
83,010017000,2015/11/25 00:00:00+00,0,WESTVIEW RD,1893,
84,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
85,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
86,010017000,2017/06/08 00:00:00+00,636000,WESTVIEW RD,1893,
87,010017000,2014/11/14 00:00:00+00,0,WESTVIEW RD,1893,
88,010017000,2016/01/29 00:00:00+00,0,WESTVIEW RD,1893,
89,010017000,1958/10/10 00:00:00+00,31500,WESTVIEW RD,1893,
90,010017000,2017/02/07 00:00:00+00,0,WESTVIEW RD,1893,
91,010017000,2015/02/26 00:00:00+00,0,WESTVIEW RD,1893,
92,010017000,2018/10/19 00:00:00+00,1030000,WESTVIEW RD,1893,
93,010017100,2000/09/14 00:00:00+00,459500,WESTVIEW RD,1895,
94,010017100,2005/11/10 00:00:00+00,654750,WESTVIEW RD,1895,
95,010017100,2004/02/20 00:00:00+00,0,WESTVIEW RD,1895,
96,010017100,1993/06/11 00:00:00+00,180000,WESTVIEW RD,1895,
97,010018000,1978/03/15 00:00:00+00,2500000,EMMET ST N,1001,
98,010019000,2002/05/23 00:00:00+00,0,WESTVIEW RD,1890,
99,010019000,2002/05/23 00:00:00+00,85000,WESTVIEW RD,1890,
100,010019000,2006/07/07 00:00:00+00,479500,WESTVIEW RD,1890,
